deal_id,stage,date,amount
BIG-051,prospect,2026-01-19,75000
BIG-051,qualify,2026-01-24,75000
BIG-051,demo,2026-02-07,75000
BIG-051,proposal,2026-02-12,75000
BIG-051,negotiate,2026-02-17,75000
BIG-051,won,2026-03-11,75000
BIG-052,prospect,2026-01-03,75000
BIG-052,qualify,2026-01-23,75000
BIG-053,prospect,2026-01-21,12000
BIG-054,prospect,2026-01-14,120000
BIG-054,qualify,2026-01-21,120000
BIG-055,prospect,2026-01-21,12000
BIG-055,qualify,2026-01-26,12000
BIG-055,demo,2026-02-18,12000
BIG-055,proposal,2026-02-24,12000
BIG-055,negotiate,2026-03-13,12000
BIG-056,prospect,2026-01-18,75000
BIG-056,qualify,2026-02-01,75000
BIG-056,demo,2026-02-13,75000
BIG-056,proposal,2026-02-23,75000
BIG-056,negotiate,2026-03-20,75000
BIG-057,prospect,2026-01-14,12000
BIG-057,qualify,2026-01-22,12000
BIG-057,demo,2026-02-16,12000
BIG-058,prospect,2026-01-12,25000
BIG-058,qualify,2026-01-18,25000
BIG-058,demo,2026-01-22,25000
BIG-058,proposal,2026-02-09,25000
BIG-059,prospect,2026-01-04,75000
BIG-060,prospect,2026-01-10,12000
BIG-060,qualify,2026-01-18,12000
BIG-060,demo,2026-02-02,12000
BIG-060,proposal,2026-02-08,12000
BIG-060,negotiate,2026-02-19,12000
